Machine_ID,Machine_Type,Operating_Hours,Production_Output,Energy_Efficiency_Rating,Asset_ID,Asset_Type,Capacity,Age,Criticality,Timestamp,Zone_ID,TGBT_ID,Armoire_ID,Energy_Consumption_kWh,Energy_Price,Raw_Material_Price
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-15 07:19:50.660356,Zone_3,TGBT_2,Armoire_2,40.468694435206274,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-15 00:29:50.660356,Zone_2,TGBT_1,Armoire_3,70.93020309371823,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-13 15:52:50.660356,Zone_2,TGBT_3,Armoire_2,12.222225842589829,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-12 13:00:50.660356,Zone_2,TGBT_1,Armoire_3,56.77411472263284,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-13 16:31:50.660356,Zone_2,TGBT_2,Armoire_3,13.634550945425627,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-13 17:28:50.660356,Zone_2,TGBT_2,Armoire_3,59.27596179816575,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-16 02:38:50.660356,Zone_1,TGBT_2,Armoire_3,82.83030007923378,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-12 23:22:50.660356,Zone_3,TGBT_1,Armoire_3,47.47101425210293,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-13 03:09:50.660356,Zone_1,TGBT_2,Armoire_1,12.890274059896864,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-16 18:06:50.660356,Zone_3,TGBT_2,Armoire_3,40.73225787422223,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-13 12:13:50.660356,Zone_3,TGBT_1,Armoire_3,98.53052227782293,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-13 01:17:50.660356,Zone_3,TGBT_1,Armoire_2,56.167366373771664,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-13 02:44:50.660356,Zone_2,TGBT_1,Armoire_2,82.0603084314584,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-15 02:42:50.660356,Zone_2,TGBT_2,Armoire_3,23.628826110865866,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-15 17:01:50.660356,Zone_1,TGBT_2,Armoire_3,37.88395813982568,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-13 02:24:50.660356,Zone_2,TGBT_3,Armoire_1,72.81860106935966,0.0,0.0
Machine_1,Type_A,266.99676613593635,191.70287507806725,0.6177261292218106,Asset_1,TGBT,1606.9149771246862,9,High,2024-04-15 19:02:50.660356,Zone_1,TGBT_2,Armoire_3,45.80344596724651,0.0,0.0
